primary_hypothesis_id,control_hypothesis_id,timing_condition,primary_direction_state,control_direction_state,same_direction_state,static_distance,match_tier,direction_used_for_selection,reference_used_for_selection
H_D5FFADBB5BE6ABBB8150,H_491B81DA590F7A457D65,NOMINAL,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,0.2318928222916471,EXACT_STATIC_BIN_MATCH,False,False
H_227FF2A7A656841D0AEB,H_67E735745E99E0CF4286,NOMINAL,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,0.0910267280696788,EXACT_STATIC_BIN_MATCH,False,False
H_B9A5A8496134D5B17A1C,H_51D49F6317823EA73A6E,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,0.3452384340168413,EXACT_STATIC_BIN_MATCH,False,False
H_CEFEFD68588B86FE8F65,H_1A2AA31981DBDF99FB45,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,0.1336194338424336,EXACT_STATIC_BIN_MATCH,False,False
H_23591169A8D77A45E606,H_DD07E948F02EC0A3287E,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,0.7756079520758146,EXACT_STATIC_BIN_MATCH,False,False
H_17615E7C7E6B532EE85E,H_382AA71B0851917397A6,NOMINAL,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.6388471317372564,RELAXED_STATIC_BIN_MATCH,False,False
H_A212E9E1D15FA133F9CE,H_C69747D07C72B5BCEC03,NOMINAL,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.3691452478836674,RELAXED_STATIC_BIN_MATCH,False,False
H_BD28E2C80F26B9A50B43,H_BE2C164C5AB55B7FCCAD,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.6676322692943533,RELAXED_STATIC_BIN_MATCH,False,False
H_9313D9031C6DC997F8C2,H_9E80BA363E9D6BD84B66,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.294693962211741,RELAXED_STATIC_BIN_MATCH,False,False
H_54062B2884AE48607355,H_9318352177FEBA391664,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.294693962211741,RELAXED_STATIC_BIN_MATCH,False,False
H_239C7F31D85DEC2961DC,H_529BF6B5CC97FEBF78A4,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.399602199107354,RELAXED_STATIC_BIN_MATCH,False,False
H_30C5FC290C9CBD04E527,H_09EEFFF6BD91D76C5B5C,OPTICAL_SHIFT_MINUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,1.399602199107354,RELAXED_STATIC_BIN_MATCH,False,False
H_C8D8CB2323BFCB6A8399,H_E367EC4C81FFFCA88ADF,OPTICAL_SHIFT_PLUS_1_NOMINAL_STEP,DIRECTION_INDETERMINATE,DIRECTION_INDETERMINATE,True,0.9488972452250318,RELAXED_STATIC_BIN_MATCH,False,False
